id video_name class subset
0 video-2EoU6EXnPuE_0 0 training
1 video-2EoU6EXnPuE_1 1 training
2 video-2EoU6EXnPuE_2 0 training
3 video-2gqpXl8I7mE_resize_3 0 training
4 video-2gqpXl8I7mE_resize_4 1 training
5 video-2gqpXl8I7mE_resize_5 1 training
6 video-2gqpXl8I7mE_resize_6 1 training
7 video-2gqpXl8I7mE_resize_7 1 training
8 video-2gqpXl8I7mE_resize_8 1 training
9 video-2gqpXl8I7mE_resize_9 0 training
10 video-3-oz1SPWiY4_10 0 training
11 video-3-oz1SPWiY4_11 1 training
12 video-3-oz1SPWiY4_12 0 training
13 video-4WZo39BbE3o_2_13 0 training
14 video-4WZo39BbE3o_2_14 1 training
15 video-4WZo39BbE3o_3_15 0 training
16 video-4WZo39BbE3o_3_16 1 training
17 video-4WZo39BbE3o_3_17 1 training
18 video-4WZo39BbE3o_3_18 0 training
19 video-4WZo39BbE3o_3_19 1 training
20 video-4WZo39BbE3o_3_20 1 training
21 video-4yzKIYbm6tM_21 0 training
22 video-4yzKIYbm6tM_22 1 training
23 video-4yzKIYbm6tM_23 0 training
24 video-64zoxiMu0p8_1_24 1 training
25 video-64zoxiMu0p8_1_25 1 training
26 video-64zoxiMu0p8_1_26 1 training
27 video-64zoxiMu0p8_1_27 1 training
28 video-64zoxiMu0p8_1_28 1 training
29 video-64zoxiMu0p8_1_29 1 training
30 video-64zoxiMu0p8_1_30 1 training
31 video-64zoxiMu0p8_1_31 1 training
32 video-64zoxiMu0p8_1_32 1 training
33 video-64zoxiMu0p8_1_33 0 training
34 video--U5SQGQl7ew_crop_34 0 training
35 video--U5SQGQl7ew_crop_35 1 training
36 video--cH7TGI6zUk_36 0 training
37 video--cH7TGI6zUk_37 1 training
38 video-DKqb-0bBx7E_resize_38 0 training
39 video-DKqb-0bBx7E_resize_39 1 validation
40 video-DKqb-0bBx7E_resize_40 1 validation
41 video-DKqb-0bBx7E_resize_41 0 training
42 video-DKqb-0bBx7E_resize_42 1 validation
43 video-DKqb-0bBx7E_resize_43 0 training
44 video-DKqb-0bBx7E_resize_44 1 validation
45 video-DKqb-0bBx7E_resize_45 1 validation
46 video-DKqb-0bBx7E_resize_46 0 training
47 video-DXlgdJ34Gnc_resize_47 0 training
48 video-DXlgdJ34Gnc_resize_48 1 validation
49 video-DXlgdJ34Gnc_resize_49 0 training
50 video-F-zT2pI-lnQ_1_50 0 training
51 video-F-zT2pI-lnQ_1_51 1 validation
52 video-F-zT2pI-lnQ_1_52 0 training
53 video-F-zT2pI-lnQ_2_53 1 validation
54 video-F-zT2pI-lnQ_2_54 0 training
55 video-F-zT2pI-lnQ_2_55 1 validation
56 video-GB0e1M5p3NU_56 0 training
57 video-GB0e1M5p3NU_57 1 validation
58 video-GB0e1M5p3NU_58 0 validation
59 video-HsaTjpESyDU_59 1 validation
60 video-HsaTjpESyDU_60 1 validation
61 video-HsaTjpESyDU_61 1 validation
62 video-HsaTjpESyDU_62 1 validation
63 video-HsaTjpESyDU_63 1 validation
64 video-HsaTjpESyDU_64 0 validation
65 video-HsaTjpESyDU_65 1 validation
66 video-HsaTjpESyDU_66 1 validation
67 video-HsaTjpESyDU_67 1 validation
68 video-OXlaho8wayQ_resize_68 0 validation
69 video-OXlaho8wayQ_resize_69 1 validation
70 video-OXlaho8wayQ_resize_70 0 validation
71 video-Q01ZWqsU6a8_71 0 validation
72 video-Q01ZWqsU6a8_72 1 validation
73 video-Q01ZWqsU6a8_73 0 validation
74 video-US59wO9bAv4_1_74 0 validation
75 video-US59wO9bAv4_1_75 1 validation
76 video-US59wO9bAv4_1_76 0 validation
77 video-UUzTqHLTA4g_77 0 validation
78 video-UUzTqHLTA4g_78 1 validation
79 video-UUzTqHLTA4g_79 1 validation
80 video-UUzTqHLTA4g_80 1 validation
81 video-UUzTqHLTA4g_81 0 validation
82 video-WMeziHjV7Sc_resize_82 0 validation
83 video-WMeziHjV7Sc_resize_83 1 training
84 video-WMeziHjV7Sc_resize_84 0 validation
85 video-Z65lGGMaSFE_1_85 1 training
86 video-Z65lGGMaSFE_1_86 1 training
87 video-Z65lGGMaSFE_2_87 1 training
88 video-Z65lGGMaSFE_2_88 0 validation
89 video-Z65lGGMaSFE_2_89 1 training
90 video-Z65lGGMaSFE_2_90 1 training
91 video-Z65lGGMaSFE_2_91 0 validation
92 video-_dmpHSznOMk_92 0 validation
93 video-_dmpHSznOMk_93 1 training
94 video-b2e5xXVYEnY_resize_94 0 validation
95 video-b2e5xXVYEnY_resize_95 1 training
96 video-b2e5xXVYEnY_resize_96 1 training
97 video-b2e5xXVYEnY_resize_97 0 validation
98 video-bIxeQKzk9-0_98 1 training
99 video-bIxeQKzk9-0_99 0 validation
100 video-cusyKShBCi4_100 0 validation
101 video-cusyKShBCi4_101 1 training
102 video-cusyKShBCi4_102 0 validation
103 video-cxzukX7Z_1I_resize_103 0 validation
104 video-cxzukX7Z_1I_resize_104 1 training
105 video-cxzukX7Z_1I_resize_105 1 training
106 video-cxzukX7Z_1I_resize_106 1 training
107 video-cxzukX7Z_1I_resize_107 1 training
108 video-cxzukX7Z_1I_resize_108 1 training
109 video-cxzukX7Z_1I_resize_109 0 validation
110 video-fmFTmov-K2k_resize_110 0 validation
111 video-fmFTmov-K2k_resize_111 1 training
112 video-fmFTmov-K2k_resize_112 1 training
113 video-fmFTmov-K2k_resize_113 0 validation
114 video-fs-ifFsc8Bg_resize_114 0 training
115 video-fs-ifFsc8Bg_resize_115 1 training
116 video-gkitFhxrYc8_116 1 training
117 video-gkitFhxrYc8_117 1 training
118 video-lZPbkfUYavo_118 0 training
119 video-lZPbkfUYavo_119 1 training
120 video-lZPbkfUYavo_120 0 training
121 video-nm2KxtOZOqA_121 0 training
122 video-nm2KxtOZOqA_122 1 training
123 video-nm2KxtOZOqA_123 0 training
124 video-oLRqoHPl6xU_124 0 training
125 video-oLRqoHPl6xU_125 1 training
126 video-oLRqoHPl6xU_126 0 training
127 video-r31hPlS1CwE_resize_127 0 training
128 video-r31hPlS1CwE_resize_128 1 training
129 video-r31hPlS1CwE_resize_129 0 training
130 video-u6dGiANdDNQ_1_130 0 training
131 video-u6dGiANdDNQ_1_131 1 training
132 video-u6dGiANdDNQ_1_132 0 training
133 video-uGpFQT3Uiig_1_133 0 training
134 video-uGpFQT3Uiig_1_134 1 training
135 video-uGpFQT3Uiig_1_135 0 training
136 video-uGpFQT3Uiig_6_136 0 training
137 video-uGpFQT3Uiig_6_137 1 training
138 video-uGpFQT3Uiig_6_138 0 training
139 video-vA9duDV6VFc_139 0 training
140 video-vA9duDV6VFc_140 1 training
141 video-vA9duDV6VFc_141 0 training
142 video-vA9duDV6VFc_142 1 training
143 video-vA9duDV6VFc_143 0 training
144 video-vA9duDV6VFc_144 1 training
145 video-vA9duDV6VFc_145 0 training
146 video-vBu6OiSdrds_resize_146 0 training
147 video-vBu6OiSdrds_resize_147 1 training
148 video-vBu6OiSdrds_resize_148 1 training
149 video-yyUaFBMwLlA_resize_149 0 training
150 video-yyUaFBMwLlA_resize_150 1 training
151 video-yyUaFBMwLlA_resize_151 1 training
152 video-yyUaFBMwLlA_resize_152 0 training
153 Shoplifting001_x264_153 0 training
154 Shoplifting001_x264_154 1 training
155 Shoplifting001_x264_155 1 training
156 Shoplifting001_x264_156 0 training
157 Shoplifting005_x264_157 0 training
158 Shoplifting005_x264_158 1 training
159 Shoplifting005_x264_159 0 training
160 Shoplifting007_x264_160 0 training
161 Shoplifting007_x264_161 1 training
162 Shoplifting007_x264_162 0 training
163 Shoplifting010_x264_163 0 training
164 Shoplifting010_x264_164 1 training
165 Shoplifting010_x264_165 0 training
166 Shoplifting010_x264_166 1 training
167 Shoplifting010_x264_167 0 training
168 Shoplifting010_x264_168 1 training
169 Shoplifting010_x264_169 0 training
170 Shoplifting012_x264_170 0 training
171 Shoplifting012_x264_171 1 training
172 Shoplifting012_x264_172 0 training
173 Shoplifting015_x264_173 0 training
174 Shoplifting015_x264_174 1 training
175 Shoplifting016_x264_175 0 training
176 Shoplifting016_x264_176 1 training
