id youtube_id class start_time end_time x y width height fps
1 u6dGiANdDNQ 0 00:00:05 00:00:17 226 116 227 172 3
2 u6dGiANdDNQ 1 00:00:17 00:00:25 226 116 227 172 5
3 u6dGiANdDNQ 0 00:00:25 00:00:30 226 116 227 172 7
4 2OM3oqQ2RbE 0 00:00:04 00:00:06 123 25 164 215 16
5 2OM3oqQ2RbE 1 00:00:06 00:00:19 123 25 164 215 3
6 2OM3oqQ2RbE 0 00:00:19 00:00:27 123 25 164 215 5
7 2OM3oqQ2RbE 1 00:00:29 00:00:34 77 19 84 154 5
8 2OM3oqQ2RbE 1 00:00:39 00:00:41 70 10 145 208 5
9 2OM3oqQ2RbE 1 00:00:41 00:00:43 70 10 145 208 5
10 2OM3oqQ2RbE 1 00:00:43 00:00:47 70 10 145 208 5
11 2OM3oqQ2RbE 0 00:00:47 00:00:51 70 10 145 208 5
12 2OM3oqQ2RbE 1 00:00:51 00:00:54 70 10 145 208 5
12 2OM3oqQ2RbE 1 00:00:51 00:00:54 70 10 145 208 5
13 2OM3oqQ2RbE 0 00:00:55 00:00:58 88 22 117 218 5
14 2OM3oqQ2RbE 1 00:00:58 00:01:04 88 22 117 218 5
14 2OM3oqQ2RbE 1 00:01:06 00:01:15 66 48 170 192 5
16 2OM3oqQ2RbE 1 00:01:31 00:01:41 100 45 108 133 5
17 2OM3oqQ2RbE 1 00:01:47 00:01:52 57 0 263 197 5
18 2b2e5xXVYEnY 0 00:00:07 00:00:15 364 150 548 411 5
19 2b2e5xXVYEnY 1 00:00:15 00:00:24 364 150 548 411 5
20 2b2e5xXVYEnY 1 00:00:24 00:00:28 364 150 548 411 5
21 2b2e5xXVYEnY 0 00:00:29 00:00:37 364 150 548 411 5
22 2zj8wFJxaxVM 0 00:00:56 00:01:01 195 81 341 255 5
23 2zj8wFJxaxVM 1 00:01:01 00:01:08 195 81 341 255 5
24 23-oz1SPWiY4 0 00:00:05 00:00:15 256 200 590 442 5
25 23-oz1SPWiY4 0 00:00:15 00:00:25 256 200 590 442 5
26 23-oz1SPWiY4 0 00:00:25 00:00:35 256 200 590 442 5
27 23-oz1SPWiY4 0 00:00:35 00:00:45 256 200 590 442 5
28 23-oz1SPWiY4 0 00:00:45 00:00:55 256 200 590 442 5
29 23-oz1SPWiY4 0 00:00:55 00:01:05 256 200 590 442 5
30 23-oz1SPWiY4 0 00:01:05 00:01:15 256 200 590 442 5
31 23-oz1SPWiY4 0 00:01:15 00:01:25 256 200 590 442 5
32 23-oz1SPWiY4 1 00:01:25 00:01:35 256 200 590 442 5
33 23-oz1SPWiY4 0 00:01:35 00:01:45 256 200 590 442 5
34 23-oz1SPWiY4 0 00:01:45 00:01:55 256 200 590 442 5
35 23-oz1SPWiY4 0 00:01:55 00:02:05 256 200 590 442 5
36 23-oz1SPWiY4 0 00:02:05 00:02:15 256 200 590 442 5
37 2-U5SQGQl7ew 0 00:00:25 00:00:30 175 209 200 150 5
38 2-U5SQGQl7ew 1 00:00:30 00:00:43 175 209 200 150 5
39 2-U5SQGQl7ew 0 00:00:43 00:00:48 175 209 200 150 5
40 2gkitFhxrYc8 0 00:01:05 00:01:08 52 10 425 318 5
41 2gkitFhxrYc8 1 00:01:08 00:01:16 52 10 425 318 5
